YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,NumberOfWindows,Geo_Code,Claim,Building_Age
2013,1.0,0,1,0,1.0,1,290.0,1,,1053,0,53.0
2015,1.0,0,0,1,0.0,0,490.0,1,4.0,1053,0,165.0
2014,1.0,0,1,0,1.0,1,595.0,1,,1053,0,54.0
2013,1.0,0,0,0,1.0,1,2840.0,1,,1053,0,53.0
2014,1.0,0,0,1,0.0,0,680.0,1,3.0,1053,0,214.0
2012,1.0,0,0,1,0.0,0,535.0,1,3.0,1143,0,32.0
2012,1.0,0,1,0,1.0,1,2830.0,1,,1143,0,24.0
2015,1.0,0,1,0,1.0,1,4952.0,1,,1160,0,27.0
2014,1.0,0,0,1,0.0,0,2735.0,1,3.0,1173,1,1.0
2015,1.0,0,0,1,0.0,0,520.0,1,2.0,1224,0,4.0
2013,0.24109589,0,0,1,0.0,0,550.0,1,3.0,1283,0,53.0
2013,1.0,0,0,0,1.0,1,910.0,1,,1283,0,53.0
2013,1.0,0,0,1,0.0,0,842.0,1,4.0,1305,0,463.0
2014,0.843835616,0,0,1,0.0,0,300.0,1,2.0,1305,0,114.0
2012,1.0,0,1,0,1.0,1,560.0,1,,1363,0,52.0
2012,1.0,0,0,1,0.0,0,3326.0,1,4.0,1419,1,5.0
2014,1.0,0,1,0,1.0,1,3990.0,1,,1419,1,26.0
2015,1.0,0,1,0,1.0,1,3990.0,1,,1419,0,27.0
2015,1.0,0,0,1,0.0,0,2444.0,1,5.0,2059,0,45.0
2016,1.0,0,0,1,0.0,0,2444.0,1,5.0,2059,0,46.0
2016,0.956284153,0,0,1,0.0,0,1626.0,1,2.0,2173,0,66.0
2016,0.99726776,0,0,1,0.0,0,2400.0,1,3.0,2408,0,316.0
2012,1.0,0,0,1,0.0,0,250.0,1,4.0,2408,0,112.0
2012,1.0,1,0,1,0.0,0,2300.0,1,4.0,2722,1,42.0
2016,0.99726776,0,1,0,1.0,1,600.0,1,,3095,0,36.0
2012,1.0,0,0,1,0.0,0,5439.0,1,,3190,0,36.0
2014,1.0,0,0,1,0.0,0,5439.0,1,,3190,1,38.0
2014,1.0,0,0,1,0.0,0,1100.0,1,4.0,3190,0,114.0
2016,1.0,0,0,1,0.0,0,1200.0,1,5.0,3310,0,76.0
2012,1.0,0,0,1,0.0,0,552.0,1,5.0,3310,0,62.0
2014,1.0,0,0,1,0.0,0,900.0,1,5.0,3310,0,94.0
2013,1.0,0,0,1,0.0,0,370.0,2,3.0,4070,1,31.0
2016,1.0,0,0,1,0.0,0,1400.0,2,3.0,4070,0,56.0
2016,0.99726776,1,1,0,1.0,1,1000.0,2,,4073,0,56.0
2012,1.0,0,0,1,0.0,0,480.0,2,4.0,4088,0,212.0
